# Energy
#
# simulation setup: 
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :     100
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -1.20299999E-02   8.72202492       16.3689461       25.0909710    
  -9.03000031E-03   8290.15039       19007.7480       27297.8984    
  -6.02999981E-03   428411.594       1431496.25       1859907.88    
  -3.03000002E-03   968596.688       3093608.75       4062205.50    
  -2.99999992E-05   10210881.0       18863886.0       29074768.0    
   2.97000003E-03   13942754.0       17554216.0       31496970.0    
   5.96999982E-03   19778794.0       22086508.0       41865304.0    
   8.96999985E-03   19685396.0       20000072.0       39685468.0    
   1.19700003E-02   18751702.0       18721110.0       37472812.0    
   1.49699999E-02   17371608.0       17522416.0       34894024.0    
   1.79699995E-02   16073868.0       15740890.0       31814758.0    
   2.09700000E-02   14122420.0       14247615.0       28370036.0    
   2.39700004E-02   12639181.0       12331563.0       24970744.0    
   2.69699991E-02   10228980.0       10959855.0       21188836.0    
   2.99699996E-02   10031533.0       10100811.0       20132344.0    
   3.29700001E-02   9802496.00       9863810.00       19666306.0    
   3.59699987E-02   9766433.00       9791611.00       19558044.0    
   3.89700010E-02   9744970.00       9771305.00       19516276.0    
   4.19699997E-02   9738317.00       9754492.00       19492808.0    
   4.49699983E-02   9736369.00       9734135.00       19470504.0    
   4.79700007E-02   9732284.00       9722428.00       19454712.0    
   5.09699993E-02   9722903.00       9716679.00       19439582.0    
   5.39700016E-02   9710355.00       9709121.00       19419476.0    
   5.69700003E-02   9700026.00       9697095.00       19397120.0    
   5.99699989E-02   9673412.00       9664248.00       19337660.0    
   6.29699975E-02   9654152.00       9648036.00       19302188.0    
   6.59700036E-02   9634565.00       9630849.00       19265414.0    
   6.89700022E-02   9627280.00       9625291.00       19252572.0    
   7.19700009E-02   9613113.00       9624681.00       19237794.0    
   7.49699995E-02   9614915.00       9609358.00       19224272.0    
   7.79699981E-02   9594942.00       9589952.00       19184894.0    
   8.09699968E-02   9570928.00       9567905.00       19138832.0    
   8.39700028E-02   9536442.00       9536552.00       19072994.0    
   8.69700015E-02   9523183.00       9526956.00       19050140.0    
   8.99700001E-02   9514118.00       9511171.00       19025288.0    
   9.29699987E-02   9509742.00       9506938.00       19016680.0    
   9.59699973E-02   9494789.00       9491915.00       18986704.0    
   9.89700034E-02   9467918.00       9458484.00       18926402.0    
  0.101970002       9427294.00       9444160.00       18871454.0    
  0.104970001       9421772.00       9412694.00       18834466.0    
  0.107969999       9400542.00       9404851.00       18805392.0    
  0.110969998       9387329.00       9382592.00       18769920.0    
  0.113969997       9348882.00       9346110.00       18694992.0    
  0.116970003       9298922.00       9308722.00       18607644.0    
