# Energy
#
# simulation setup: 
#   using    acoustic wavefield
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :     100
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -1.20299999E-02   8.72202492       16.3689461       25.0909710    
  -9.03000031E-03   8290.15137       19007.7441       27297.8945    
  -6.02999981E-03   428411.781       1431496.25       1859908.00    
  -3.03000002E-03   968627.938       3093579.00       4062207.00    
  -2.99999992E-05   10222734.0       18852048.0       29074782.0    
   2.97000003E-03   13997605.0       17500252.0       31497856.0    
   5.96999982E-03   19332362.0       22521754.0       41854116.0    
   8.96999985E-03   20325040.0       19489910.0       39814952.0    
   1.19700003E-02   18394096.0       19435988.0       37830084.0    
   1.49699999E-02   18014536.0       17631866.0       35646400.0    
   1.79699995E-02   16530947.0       16326875.0       32857822.0    
   2.09700000E-02   14512138.0       15074143.0       29586280.0    
   2.39700004E-02   13517288.0       12389418.0       25906706.0    
   2.69699991E-02   10588417.0       11665327.0       22253744.0    
   2.99699996E-02   10455548.0       10647322.0       21102870.0    
   3.29700001E-02   10503320.0       10094731.0       20598052.0    
   3.59699987E-02   10039588.0       10366185.0       20405772.0    
   3.89700010E-02   10228144.0       10108651.0       20336796.0    
   4.19699997E-02   10043603.0       10270699.0       20314302.0    
   4.49699983E-02   10185615.0       10091126.0       20276740.0    
   4.79700007E-02   10244260.0       9954917.00       20199176.0    
   5.09699993E-02   9828392.00       10344708.0       20173100.0    
   5.39700016E-02   10207937.0       9927238.00       20135176.0    
   5.69700003E-02   10123226.0       10007963.0       20131188.0    
   5.99699989E-02   9922865.00       10187949.0       20110814.0    
   6.29699975E-02   10112891.0       9953375.00       20066266.0    
   6.59700036E-02   9984954.00       10054201.0       20039156.0    
   6.89700022E-02   10052478.0       9952110.00       20004588.0    
   7.19700009E-02   9935646.00       10045758.0       19981404.0    
   7.49699995E-02   9907699.00       10009749.0       19917448.0    
   7.79699981E-02   10057398.0       9794808.00       19852206.0    
   8.09699968E-02   9793933.00       9977874.00       19771808.0    
   8.39700028E-02   9808584.00       9881851.00       19690436.0    
   8.69700015E-02   9898192.00       9738059.00       19636252.0    
   8.99700001E-02   9698450.00       9848356.00       19546806.0    
   9.29699987E-02   9741591.00       9771039.00       19512630.0    
   9.59699973E-02   9759942.00       9678808.00       19438750.0    
   9.89700034E-02   9613019.00       9824636.00       19437656.0    
  0.101970002       9756591.00       9550244.00       19306836.0    
  0.104970001       9548519.00       9739251.00       19287770.0    
  0.107969999       9525405.00       9697346.00       19222752.0    
  0.110969998       9656589.00       9400720.00       19057308.0    
  0.113969997       9383082.00       9700624.00       19083706.0    
  0.116970003       9406199.00       9564330.00       18970528.0    
  0.119970001       9522560.00       9363114.00       18885674.0    
  0.122970000       9367196.00       9609739.00       18976936.0    
  0.125970006       9437850.00       9710374.00       19148224.0    
  0.128969997       9606295.00       9411587.00       19017882.0    
  0.131970003       9506258.00       9998993.00       19505252.0    
  0.134969994       9768965.00       9932726.00       19701692.0    
  0.137970001       9774033.00       9912709.00       19686742.0    
  0.140970007       10177742.0       10577933.0       20755676.0    
  0.143969998       10376727.0       10642528.0       21019256.0    
  0.146970004       10564891.0       10805825.0       21370716.0    
  0.149969995       11319916.0       11785181.0       23105096.0    
  0.152970001       11532059.0       11973218.0       23505276.0    
  0.155970007       11770408.0       12452285.0       24222692.0    
  0.158969998       13426822.0       13577097.0       27003920.0    
  0.161970004       12631019.0       14136494.0       26767512.0    
  0.164969996       14145040.0       14611799.0       28756840.0    
  0.167970002       16252741.0       16066667.0       32319408.0    
  0.170969993       14378129.0       17563690.0       31941820.0    
  0.173969999       18688804.0       17312554.0       36001360.0    
  0.176970005       19422508.0       20743644.0       40166152.0    
  0.179969996       17718908.0       21767312.0       39486220.0    
  0.182970002       24655114.0       21834850.0       46489964.0    
  0.185969993       23061390.0       26958894.0       50020284.0    
  0.188970000       22665732.0       27127690.0       49793424.0    
  0.191970006       33074744.0       27471090.0       60545832.0    
  0.194969997       26133838.0       35544560.0       61678400.0    
  0.197970003       32050802.0       32423136.0       64473936.0    
  0.200969994       41469624.0       36543460.0       78013088.0    
  0.203970000       31103716.0       45818588.0       76922304.0    
  0.206970006       45027080.0       39498632.0       84525712.0    
  0.209969997       50118244.0       49779220.0       99897464.0    
  0.212970003       37978904.0       56979252.0       94958160.0    
  0.215969995       62731820.0       48011736.0       110743552.    
  0.218970001       56417152.0       66995412.0       123412560.    
  0.221970007       51148244.0       67320456.0       118468704.    
  0.224969998       82428288.0       60914996.0       143343280.    
  0.227970004       62159496.0       88581896.0       150741392.    
  0.230969995       71712280.0       77292592.0       149004864.    
  0.233970001       101884736.       81427688.0       183312416.    
  0.236970007       69473328.0       111782680.       181256000.    
  0.239969999       101726496.       88313416.0       190039904.    
  0.242970005       118516576.       109992656.       228509232.    
  0.245969996       82862688.0       134264288.       217126976.    
  0.248970002       139240912.       102851936.       242092848.    
  0.251969993       130556952.       148811840.       279368800.    
  0.254970014       107681352.       153958016.       261639360.    
  0.257970005       180165824.       128081968.       308247808.    
  0.260969996       140529264.       193152640.       333681920.    
  0.263969988       146432368.       170841024.       317273408.    
  0.266970009       220556368.       164819728.       385376096.    
  0.269970000       151144000.       239865264.       391009280.    
  0.272969991       202668592.       187178464.       389847040.    
  0.275970012       253383088.       220210048.       473593152.    
  0.278970003       172148624.       283648768.       455797376.    
  0.281969994       270989728.       211488976.       482478720.    
  0.284969985       279447552.       290190240.       569637760.    
  0.287970006       208055504.       320788928.       528844416.    
  0.290969998       350284640.       247688928.       597973568.    
  0.293969989       295513408.       372818880.       668332288.    
  0.296970010       270622144.       350215584.       620837760.    
  0.299970001       427301248.       308292320.       735593600.    
  0.302969992       312331808.       461609184.       773940992.    
  0.305970013       359362432.       377959808.       737322240.    
  0.308970004       498779360.       395928640.       894707968.    
  0.311969995       334870016.       546135552.       881005568.    
  0.314969987       478925472.       408736640.       887662080.    
  0.317970008       551929024.       513029920.       1.06495898E+09
  0.320969999       382299648.       620939648.       1.00323930E+09
  0.323969990       618199680.       459367328.       1.07756698E+09
  0.326970011       589714752.       659301504.       1.24901632E+09
  0.329970002       465123360.       680926080.       1.14604941E+09
  0.332969993       768985984.       542222016.       1.31120794E+09
  0.335970014       612959232.       819572352.       1.43253158E+09
  0.338970006       599170368.       727443328.       1.32661376E+09
  0.341969997       911800448.       669921024.       1.58172147E+09
  0.344969988       638965696.       986208832.       1.62517453E+09
  0.347970009       787719680.       772768192.       1.56048794E+09
  0.350970000       1.03288794E+09   857391872.       1.89027981E+09
  0.353969991       689502976.       1.13899136E+09   1.82849434E+09
  0.356970012       1.02709408E+09   836009152.       1.86310323E+09
  0.359970003       1.12125581E+09   1.09571686E+09   2.21697280E+09
  0.362969995       790848640.       1.26693811E+09   2.05778675E+09
  0.365969986       1.30176653E+09   939641024.       2.24140749E+09
  0.368970007       1.17564198E+09   1.38462643E+09   2.56026829E+09
  0.371969998       973286656.       1.36670541E+09   2.33999206E+09
  0.374969989       1.58392218E+09   1.11962496E+09   2.70354714E+09
  0.377970010       1.21524429E+09   1.69516582E+09   2.91041024E+09
  0.380970001       1.25070426E+09   1.44644058E+09   2.69714483E+09
  0.383969992       1.84646259E+09   1.38612877E+09   3.23259136E+09
