# Energy
#
# simulation setup: 
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :     100
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  -1.20299999E-02   8.72202492       16.3689461       25.0909710    
  -9.03000031E-03   8290.15234       19007.7441       27297.8965    
  -6.02999981E-03   428411.656       1431496.00       1859907.62    
  -3.03000002E-03   968718.750       3093487.00       4062205.75    
  -2.99999992E-05   10223756.0       18850822.0       29074578.0    
   2.97000003E-03   13861886.0       17628578.0       31490464.0    
   5.96999982E-03   20001078.0       21858352.0       41859432.0    
   8.96999985E-03   19342978.0       20298296.0       39641272.0    
   1.19700003E-02   18759086.0       18684906.0       37443992.0    
   1.49699999E-02   17525792.0       17325524.0       34851316.0    
   1.79699995E-02   16019830.0       15861629.0       31881460.0    
   2.09700000E-02   14016071.0       14278163.0       28294234.0    
   2.39700004E-02   12578340.0       12423792.0       25002132.0    
   2.69699991E-02   10270259.0       10857029.0       21127288.0    
   2.99699996E-02   10079291.0       10076720.0       20156012.0    
   3.29700001E-02   9791853.00       9910646.00       19702500.0    
   3.59699987E-02   9814262.00       9808539.00       19622800.0    
   3.89700010E-02   9770283.00       9812152.00       19582436.0    
   4.19699997E-02   9773912.00       9781813.00       19555724.0    
   4.49699983E-02   9763150.00       9747815.00       19510964.0    
   4.79700007E-02   9731331.00       9744092.00       19475424.0    
   5.09699993E-02   9730909.00       9706594.00       19437504.0    
   5.39700016E-02   9694805.00       9698617.00       19393422.0    
   5.69700003E-02   9681486.00       9675315.00       19356800.0    
   5.99699989E-02   9656402.00       9643383.00       19299784.0    
   6.29699975E-02   9632171.00       9629210.00       19261380.0    
   6.59700036E-02   9618584.00       9611466.00       19230050.0    
   6.89700022E-02   9610926.00       9613198.00       19224124.0    
   7.19700009E-02   9604706.00       9610933.00       19215640.0    
   7.49699995E-02   9606507.00       9593203.00       19199710.0    
   7.79699981E-02   9588371.00       9576807.00       19165178.0    
   8.09699968E-02   9571793.00       9558646.00       19130440.0    
   8.39700028E-02   9545129.00       9539764.00       19084892.0    
   8.69700015E-02   9532009.00       9534862.00       19066872.0    
   8.99700001E-02   9524901.00       9519499.00       19044400.0    
   9.29699987E-02   9515653.00       9507939.00       19023592.0    
   9.59699973E-02   9492935.00       9489753.00       18982688.0    
   9.89700034E-02   9461953.00       9455843.00       18917796.0    
